文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
実登3234443,            実願2021-002167,2021/06/06,2021/10/14,踏み面が上を向くペダルプレート,竹谷　俊哉,",B62M3/08@Z,"
特開2021-151858,            特願2021-047062,2021/03/22,2021/09/30,傾斜角度可変式ペダル装置,金谷　莉沙              他,",B62M3/08@B,"
特開2021-151471,            特願2021-037630,2021/03/09,2021/09/30,若雌鶏にワクチンを送達するためのワクチン接種システム、ならびに関連する方法、デバイス、及びアセンブリ,ゾエティス・サービシーズ・エルエルシー,",A61D1/02@B,"
特開2021-142914,            特願2020-043425,2020/03/12,2021/09/24,自転車,本田技研工業株式会社,",B62M3/00@Z,B62M6/40,B62M6/90,他,"
特開2021-129986,            特願2021-024446,2021/02/18,2021/09/09,遠位橈骨安定化システム,グローバス　メディカル　インコーポレイティッド,",A61B17/80,A61B17/90,"
特開2021-121260,            特願2020-014800,2020/01/31,2021/08/26,スキー靴,阿部　英樹,",A43B5/04@D,"
特開2021-120912,            特願2021-088041,2021/05/26,2021/08/19,データ送信機能を含む履物製品,ナイキ　イノベイト　シーブイ,",G06Q30/02,398,"
特開2021-107826,            特願2021-069308,2021/04/15,2021/07/29,分析評価装置、方法、および試薬,メソ　スケール　テクノロジーズ　エルエルシー,",G01N35/04@E,"
特開2021-069410,            特願2019-195927,2019/10/29,2021/05/06,スキー用アイゼン,株式会社エコラボ,",A63C7/10@A,"
特開2021-045517,            特願2019-186343,2019/09/18,2021/03/25,特性改造が可能な機構を内蔵したスキー板、及び装着部品,清水　暁,",A63C5/00@A,"
実登3231234,            実願2021-000009,2021/01/04,2021/03/18,パンタグラフジャッキのジャッキ補助具及びそれを備えたパンタグラフジャッキ,有限会社トラストライトサクセス,",B66F3/12@C,B25B21/00@H,"
特開2021-042823,            特願2019-166090,2019/09/12,2021/03/18,ホース,帝国繊維株式会社,",F16L11/02,"
特開2021-039627,            特願2019-161663,2019/09/05,2021/03/11,発想提案支援システム、発想提案支援装置、発想提案支援方法及びプログラム,コニカミノルタ株式会社,",G06F16/903,G06F16/904,"
特開2021-036242,            特願2020-185444,2020/11/05,2021/03/04,基礎器具と取外可能カートリッジとを含む生化学的解析のためのシステム及び方法,イラミーナ　インコーポレーテッド,",G01N35/08@A,G01N37/00,101,C12M1/34@Z,"
特開2021-010771,            特願2020-175971,2020/10/20,2021/02/04,患者用インタフェース及びヘッドギア,フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,",A61M16/06@A,"
特開2021-008363,            特願2020-154179,2020/09/14,2021/01/28,一体化されたクロージャー装置部品および方法,ボア　テクノロジー，インコーポレイテッド,",B65H75/42@E,A43B23/02,104,A43C11/10,他,"
特開2021-000465,            特願2020-146790,2020/09/01,2021/01/07,リールベースのクロージャーシステムを含むようにフットウェアを後付け改装するための方法および装置,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A43B23/02,105@Z,"
特開2020-197008,            特願2019-102087,2019/05/31,2020/12/10,盗難防止装置,株式会社　トップブレイン              他,",E05B73/00@A,A45C13/22@Z,"
特開2020-185411,            特願2020-126059,2020/07/27,2020/11/19,紐締めシステムに使用されるリール,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A44B99/00,601@Z,A44B99/00,611@N,"
特開2020-182749,            特願2019-095540,2019/04/26,2020/11/12,スキー板の特性改造用部品およびスキー板,清水　暁,",A63C5/06@A,"
特開2020-163152,            特願2020-064463,2020/03/31,2020/10/08,流体充填ブラダチャンバを含む調節可能な足支持システム,ナイキ　イノベイト　シーブイ,",A43B13/20@Z,A43B13/14@B,"
特開2020-162632,            特願2019-063322,2019/03/28,2020/10/08,スノーボード用ビンディング,株式会社カーメイト,",A63C10/22,"
特開2020-125420,            特願2019-019466,2019/02/06,2020/08/20,熱可塑性エラストマー組成物およびその用途,三井化学株式会社,",C08L23/02,C08L23/26,C08L1/02,"
